# l m n Re/Im
0 0 0 4245.33888118
0 0 0 0.00000000
1 -1 -1 0.00000015
1 -1 -1 -0.00000000
1 -1 0 0.00000001
1 -1 0 -0.00000000
1 -1 1 -0.00000003
1 -1 1 0.00000000
1 0 -1 0.00000004
1 0 -1 0.00000000
1 0 0 0.00000000
1 0 0 0.00000000
1 0 1 -0.00000004
1 0 1 0.00000000
1 1 -1 -0.00000003
1 1 -1 -0.00000000
1 1 0 -0.00000001
1 1 0 -0.00000000
1 1 1 0.00000015
1 1 1 0.00000000
2 -2 -2 -0.00000001
2 -2 -2 -0.00000000
2 -2 -1 -0.00000003
2 -2 -1 -0.00000000
2 -2 0 0.00000000
2 -2 0 0.00000000
2 -2 1 -0.00000001
2 -2 1 0.00000000
2 -2 2 -0.00000002
2 -2 2 -0.00000000
2 -1 -2 0.00000001
2 -1 -2 0.00000000
2 -1 -1 0.00000000
2 -1 -1 0.00000000
2 -1 0 -0.00000000
2 -1 0 -0.00000000
2 -1 1 0.00000001
2 -1 1 0.00000000
2 -1 2 0.00000000
2 -1 2 -0.00000000
2 0 -2 0.00000000
2 0 -2 0.00000000
2 0 -1 0.00000000
2 0 -1 -0.00000000
2 0 0 -2454.36926062
2 0 0 0.00000000
2 0 1 -0.00000000
2 0 1 -0.00000000
2 0 2 0.00000000
2 0 2 -0.00000000
2 1 -2 -0.00000000
2 1 -2 -0.00000000
2 1 -1 0.00000001
2 1 -1 -0.00000000
2 1 0 0.00000000
2 1 0 -0.00000000
2 1 1 0.00000000
2 1 1 -0.00000000
2 1 2 -0.00000001
2 1 2 0.00000000
2 2 -2 -0.00000002
2 2 -2 0.00000000
2 2 -1 0.00000001
2 2 -1 0.00000000
2 2 0 0.00000000
2 2 0 -0.00000000
2 2 1 0.00000003
2 2 1 -0.00000000
2 2 2 -0.00000001
2 2 2 0.00000000
